Question_Code,Question_Text,Country,Answer,Percentage
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 12 months,0.188
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,Longer than 12 months ago,0.17
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last week,0.05389222
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last month,0.1237525
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 3 months,0.29840319
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 6 months,0.26946108
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 12 months,0.09481038
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,Longer than 12 months ago,0.15968064
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last week,0.05194805
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last month,0.15184815
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 3 months,0.27172827
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 6 months,0.24875125
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 12 months,0.08991009
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,Longer than 12 months ago,0.18581419
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last week,0.071
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last month,0.134
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last 3 months,0.229
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last 6 months,0.222
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last 12 months,0.144
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,Longer than 12 months ago,0.2
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,Never,0.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I could not afford to travel in the past 12 months,0.39456193
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I am not interested in traveling,0.07250755
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I am saving for an upcoming trip,0.08277946
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I travelled the year before instead,0.03867069
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I had commitments which prevented me from traveling,0.14441088
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,Family or personal reason,0.18670695
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,Some other reason,0.08036254
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I could not afford to travel in the past 12 months,0.19230769
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I am not interested in traveling,0.09340659000000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I am saving for an upcoming trip,0.14285714
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I travelled the year before instead,0.05494505
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I had commitments which prevented me from traveling,0.23626374
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,Family or personal reason,0.18681319
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,Some other reason,0.09340659000000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I could not afford to travel in the past 12 months,0.4212598400000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I am not interested in traveling,0.10629921
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I am saving for an upcoming trip,0.05905512
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I travelled the year before instead,0.01181102
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I had commitments which prevented me from traveling,0.12992126
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,Family or personal reason,0.17322835
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,Some other reason,0.0984252
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I could not afford to travel in the past 12 months,0.43097643
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I am not interested in traveling,0.08754208999999999
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I am saving for an upcoming trip,0.05050505
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I travelled the year before instead,0.04377104
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I had commitments which prevented me from traveling,0.11111111
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,Family or personal reason,0.18518519
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,Some other reason,0.09090909
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I could not afford to travel in the past 12 months,0.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I am not interested in traveling,0.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I am saving for an upcoming trip,0.06666667
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I travelled the year before instead,0.2
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I had commitments which prevented me from traveling,0.26666667
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,Family or personal reason,0.33333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,Some other reason,0.13333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I could not afford to travel in the past 12 months,0.47663551
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I am not interested in traveling,0.09345794
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I am saving for an upcoming trip,0.07476636
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I travelled the year before instead,0.07476636
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I had commitments which prevented me from traveling,0.04672897
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,Family or personal reason,0.17757009
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,Some other reason,0.05607477
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I could not afford to travel in the past 12 months,0.23809524
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I am not interested in traveling,0.01190476
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I am saving for an upcoming trip,0.08333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I travelled the year before instead,0.08333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I had commitments which prevented me from traveling,0.33333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,Family or personal reason,0.21428571
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,Some other reason,0.03571429
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I could not afford to travel in the past 12 months,0.47647059
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I am not interested in traveling,0.00588235
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I am saving for an upcoming trip,0.07647058999999999
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I travelled the year before instead,0.04117647
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I had commitments which prevented me from traveling,0.18235294
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,Family or personal reason,0.14705882
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,Some other reason,0.07058824000000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I could not afford to travel in the past 12 months,0.45
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I am not interested in traveling,0.025
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I am saving for an upcoming trip,0.13125
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I travelled the year before instead,0.00625
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I had commitments which prevented me from traveling,0.0625
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,Family or personal reason,0.275
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,Some other reason,0.05
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I could not afford to travel in the past 12 months,0.38172043
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I am not interested in traveling,0.08064516
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I am saving for an upcoming trip,0.08064516
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I travelled the year before instead,0.02150538
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I had commitments which prevented me from traveling,0.11290323
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,Family or personal reason,0.19892473
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,Some other reason,0.12365591
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I could not afford to travel in the past 12 months,0.44
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I am not interested in traveling,0.095
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I am saving for an upcoming trip,0.08
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I travelled the year before instead,0.04
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,I had commitments which prevented me from traveling,0.155
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,Family or personal reason,0.14
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,AU,Some other reason,0.05
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,1 night,0.11870942
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,2-4 nights,0.42542614
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,5-7 nights,0.28743912
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,8-14 nights,0.11769481
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,15 or more nights,0.05073051999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,hVacationType: AUTOPUNCH FROM QDURATION,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Total,
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Overnight stay,0.11870942
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Short trip,0.42542614
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Medium trip,0.28743912
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Long trip,0.11769481
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,Total,Extra long trip,0.05073051999999999
QDuration,How many nights away from home did you spend on your MOST RECENT vacation?,SG,1 night,0.04776346
