Question_Code,Question_Text,Country,Answer,Percentage
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,Longer than 12 months ago,8.374875
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",UAE,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last week,11.600000000000001
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last month,12.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 3 months,19.6
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 6 months,21.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,In the last 12 months,18.8
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,Longer than 12 months ago,17.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",BR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last week,5.389222
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last month,12.37525
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 3 months,29.840318999999997
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 6 months,26.946108000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,In the last 12 months,9.481038
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,Longer than 12 months ago,15.968064000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",FR,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last week,5.194805000000001
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last month,15.184814999999999
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 3 months,27.172826999999998
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 6 months,24.875125
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,In the last 12 months,8.991009
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,Longer than 12 months ago,18.581419
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",DE,Never,0.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last week,7.1
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last month,13.4
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last 3 months,22.900000000000002
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last 6 months,22.2
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,In the last 12 months,14.399999999999999
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,Longer than 12 months ago,20.0
QWhen,"When did you most recently take a trip or vacation involving at least one overnight stay, for leisure purposes, if ever?",AU,Never,0.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I could not afford to travel in the past 12 months,39.456193
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I am not interested in traveling,7.250755000000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I am saving for an upcoming trip,8.277946
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I travelled the year before instead,3.867069
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I had commitments which prevented me from traveling,14.441087999999999
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,Family or personal reason,18.670695000000002
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,Some other reason,8.036254
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I could not afford to travel in the past 12 months,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I am not interested in traveling,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I am saving for an upcoming trip,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I travelled the year before instead,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,I had commitments which prevented me from traveling,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,Family or personal reason,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,Total,Some other reason,
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I could not afford to travel in the past 12 months,19.230769
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I am not interested in traveling,9.340659
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I am saving for an upcoming trip,14.285713999999999
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I travelled the year before instead,5.494505
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,I had commitments which prevented me from traveling,23.626374
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,Family or personal reason,18.681319
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,SG,Some other reason,9.340659
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I could not afford to travel in the past 12 months,42.12598400000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I am not interested in traveling,10.629921000000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I am saving for an upcoming trip,5.905512
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I travelled the year before instead,1.181102
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,I had commitments which prevented me from traveling,12.992126
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,Family or personal reason,17.322835
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UK,Some other reason,9.84252
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I could not afford to travel in the past 12 months,43.097643000000005
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I am not interested in traveling,8.754209
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I am saving for an upcoming trip,5.050505
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I travelled the year before instead,4.377104
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,I had commitments which prevented me from traveling,11.111111
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,Family or personal reason,18.518519
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,US,Some other reason,9.090909
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I could not afford to travel in the past 12 months,0.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I am not interested in traveling,0.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I am saving for an upcoming trip,6.6666669999999995
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I travelled the year before instead,20.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,I had commitments which prevented me from traveling,26.666667
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,Family or personal reason,33.333332999999996
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,CN,Some other reason,13.333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I could not afford to travel in the past 12 months,47.663551
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I am not interested in traveling,9.345794
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I am saving for an upcoming trip,7.476636
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I travelled the year before instead,7.476636
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,I had commitments which prevented me from traveling,4.672897
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,Family or personal reason,17.757009
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,KR,Some other reason,5.607477
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I could not afford to travel in the past 12 months,23.809524
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I am not interested in traveling,1.190476
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I am saving for an upcoming trip,8.333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I travelled the year before instead,8.333333
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,I had commitments which prevented me from traveling,33.333332999999996
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,Family or personal reason,21.428570999999998
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,UAE,Some other reason,3.571429
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I could not afford to travel in the past 12 months,47.647059000000006
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I am not interested in traveling,0.588235
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I am saving for an upcoming trip,7.647058999999999
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I travelled the year before instead,4.117647
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,I had commitments which prevented me from traveling,18.235294
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,Family or personal reason,14.705882
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,BR,Some other reason,7.058824000000001
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I could not afford to travel in the past 12 months,45.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I am not interested in traveling,2.5
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I am saving for an upcoming trip,13.125
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I travelled the year before instead,0.625
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,I had commitments which prevented me from traveling,6.25
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,Family or personal reason,27.500000000000004
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,FR,Some other reason,5.0
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I could not afford to travel in the past 12 months,38.172043
QWhyno,Which of the following BEST describes why you did not take a vacation within the last 12 months?,DE,I am not interested in traveling,8.064516
